Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00012940,0.00007067,1.00
6x6,5,100,100,100.00,0.00010612,0.00003394,1.00
6x6,10,100,100,100.00,0.00009470,0.00001647,1.00
6x6,15,100,100,100.00,0.00008902,0.00002864,1.00
6x6,20,100,100,100.00,0.00008140,0.00002636,1.00
6x6,25,100,100,100.00,0.00005725,0.00001311,1.00
6x6,30,100,100,100.00,0.00004632,0.00001276,1.00
6x6,35,100,100,100.00,0.00002702,0.00002068,1.00
6x6,40,100,100,100.00,0.00001544,0.00000946,1.00
6x6,45,100,100,100.00,0.00000846,0.00000657,1.00
6x6,50,100,100,100.00,0.00000608,0.00000413,1.00
6x6,55,100,100,100.00,0.00000548,0.00000317,1.00
6x6,60,100,100,100.00,0.00000476,0.00000224,1.00
6x6,65,100,100,100.00,0.00000446,0.00000186,1.00
6x6,70,100,100,100.00,0.00000428,0.00000114,1.00
6x6,75,100,100,100.00,0.00000438,0.00000259,1.00
6x6,80,100,100,100.00,0.00000400,0.00000057,1.00
6x6,85,100,100,100.00,0.00000399,0.00000066,1.00
6x6,90,100,100,100.00,0.00000404,0.00000058,1.00
6x6,95,100,100,100.00,0.00000476,0.00000763,1.00
9x9,0,100,100,100.00,0.00040310,0.00003834,1.00
9x9,5,100,100,100.00,0.00038966,0.00012989,1.00
9x9,10,100,100,100.00,0.00034210,0.00004578,1.01
9x9,15,100,100,100.00,0.00031038,0.00002414,1.00
9x9,20,100,100,100.00,0.00027775,0.00003633,1.01
9x9,25,100,100,100.00,0.00023548,0.00003102,1.01
9x9,30,100,100,100.00,0.00018455,0.00003538,1.02
9x9,35,100,100,100.00,0.00012073,0.00003875,1.01
9x9,40,100,100,100.00,0.00006003,0.00005488,1.00
9x9,45,100,100,100.00,0.00002723,0.00002186,1.00
9x9,50,100,100,100.00,0.00001661,0.00001075,1.00
9x9,55,100,100,100.00,0.00001189,0.00000870,1.00
9x9,60,100,100,100.00,0.00000937,0.00000347,1.00
9x9,65,100,100,100.00,0.00000900,0.00000489,1.00
9x9,70,100,100,100.00,0.00000799,0.00000168,1.00
9x9,75,100,100,100.00,0.00000813,0.00000150,1.00
9x9,80,100,100,100.00,0.00000817,0.00000177,1.00
9x9,85,100,100,100.00,0.00000894,0.00000689,1.00
9x9,90,100,100,100.00,0.00000827,0.00000187,1.00
9x9,95,100,100,100.00,0.00000919,0.00000745,1.00
12x12,0,100,100,100.00,0.00115013,0.00030788,1.11
12x12,5,100,100,100.00,0.00105228,0.00025503,1.08
12x12,10,100,100,100.00,0.00101482,0.00035824,1.08
12x12,15,100,100,100.00,0.00091268,0.00023089,1.09
12x12,20,100,100,100.00,0.00093586,0.00032242,1.25
12x12,25,100,100,100.00,0.00081368,0.00028583,1.23
12x12,30,100,100,100.00,0.00076376,0.00032137,1.32
12x12,35,100,100,100.00,0.00063360,0.00024358,1.30
12x12,40,100,100,100.00,0.00048524,0.00021439,1.12
12x12,45,100,100,100.00,0.00028196,0.00010246,1.02
12x12,50,100,100,100.00,0.00013303,0.00007899,1.01
12x12,55,100,100,100.00,0.00005463,0.00004376,1.00
12x12,60,100,100,100.00,0.00002779,0.00002095,1.00
12x12,65,100,100,100.00,0.00001956,0.00001069,1.00
12x12,70,100,100,100.00,0.00001772,0.00001190,1.00
12x12,75,100,100,100.00,0.00001636,0.00001654,1.00
12x12,80,100,100,100.00,0.00001446,0.00000583,1.00
12x12,85,100,100,100.00,0.00001300,0.00000183,1.00
12x12,90,100,100,100.00,0.00001281,0.00000172,1.00
12x12,95,100,100,100.00,0.00001273,0.00000163,1.00
16x16,0,100,100,100.00,0.00510545,0.00236865,1.72
16x16,5,100,100,100.00,0.00422843,0.00137397,1.62
16x16,10,100,100,100.00,0.00468613,0.00192575,1.97
16x16,15,100,100,100.00,0.00401151,0.00178099,1.82
16x16,20,100,100,100.00,0.00386227,0.00144558,2.06
16x16,25,100,100,100.00,0.00353025,0.00134866,2.12
16x16,30,100,100,100.00,0.00389319,0.00286781,2.40
16x16,35,100,100,100.00,0.00365425,0.00256874,3.00
16x16,40,100,100,100.00,0.00255981,0.00252889,3.04
16x16,45,100,100,100.00,0.00281264,0.01834893,2.90
16x16,50,100,100,100.00,0.00010712,0.00009730,1.01
16x16,55,100,100,100.00,0.00003673,0.00003408,1.00
16x16,60,100,100,100.00,0.00002612,0.00001130,1.00
16x16,65,100,100,100.00,0.00002211,0.00000568,1.00
16x16,70,100,100,100.00,0.00001985,0.00000324,1.00
16x16,75,100,100,100.00,0.00002014,0.00000473,1.00
16x16,80,100,100,100.00,0.00001913,0.00000243,1.00
16x16,85,100,100,100.00,0.00001862,0.00000162,1.00
16x16,90,100,100,100.00,0.00001883,0.00000322,1.00
16x16,95,100,100,100.00,0.00001889,0.00000301,1.00
25x25,0,100,100,100.00,0.12643565,0.16250442,8.46
25x25,5,100,100,100.00,0.11420800,0.15565141,8.41
25x25,10,100,100,100.00,0.20048146,0.50795773,15.77
