Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00006266,0.00001107,1.00
6x6,5,100,100,100.00,0.00005775,0.00000994,1.00
6x6,10,100,100,100.00,0.00005154,0.00000606,1.00
6x6,15,100,100,100.00,0.00004594,0.00000339,1.00
6x6,20,100,100,100.00,0.00003978,0.00000588,1.00
6x6,25,100,100,100.00,0.00003155,0.00000556,1.00
6x6,30,100,100,100.00,0.00002651,0.00000714,1.00
6x6,35,100,100,100.00,0.00001519,0.00000704,1.00
6x6,40,100,100,100.00,0.00001139,0.00001166,1.00
6x6,45,100,100,100.00,0.00000566,0.00000340,1.00
6x6,50,100,100,100.00,0.00000416,0.00000204,1.00
6x6,55,100,100,100.00,0.00000380,0.00000177,1.00
6x6,60,100,100,100.00,0.00000338,0.00000140,1.00
6x6,65,100,100,100.00,0.00000330,0.00000104,1.00
6x6,70,100,100,100.00,0.00000314,0.00000103,1.00
6x6,75,100,100,100.00,0.00000315,0.00000083,1.00
6x6,80,100,100,100.00,0.00000291,0.00000051,1.00
6x6,85,100,100,100.00,0.00000322,0.00000376,1.00
6x6,90,100,100,100.00,0.00000300,0.00000083,1.00
6x6,95,100,100,100.00,0.00000303,0.00000137,1.00
9x9,0,100,100,100.00,0.00023960,0.00005983,1.05
9x9,5,100,100,100.00,0.00022116,0.00005125,1.08
9x9,10,100,100,100.00,0.00020155,0.00004888,1.02
9x9,15,100,100,100.00,0.00018538,0.00004427,1.05
9x9,20,100,100,100.00,0.00015033,0.00001842,1.01
9x9,25,100,100,100.00,0.00012917,0.00002250,1.03
9x9,30,100,100,100.00,0.00010720,0.00003252,1.07
9x9,35,100,100,100.00,0.00007863,0.00006123,1.03
9x9,40,100,100,100.00,0.00003275,0.00002394,1.02
9x9,45,100,100,100.00,0.00001640,0.00001179,1.01
9x9,50,100,100,100.00,0.00001030,0.00000577,1.00
9x9,55,100,100,100.00,0.00000739,0.00000361,1.00
9x9,60,100,100,100.00,0.00000680,0.00000786,1.00
9x9,65,100,100,100.00,0.00000599,0.00000383,1.00
