Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00012530,0.00004652,1.00
6x6,5,100,100,100.00,0.00010555,0.00002081,1.00
6x6,10,100,100,100.00,0.00009389,0.00000900,1.00
6x6,15,100,100,100.00,0.00008936,0.00002278,1.00
6x6,20,100,100,100.00,0.00007565,0.00001150,1.00
6x6,25,100,100,100.00,0.00006503,0.00006983,1.00
6x6,30,100,100,100.00,0.00004654,0.00001223,1.00
6x6,35,100,100,100.00,0.00002614,0.00001422,1.00
6x6,40,100,100,100.00,0.00001553,0.00000977,1.00
6x6,45,100,100,100.00,0.00000956,0.00001337,1.00
6x6,50,100,100,100.00,0.00000599,0.00000329,1.00
6x6,55,100,100,100.00,0.00000549,0.00000319,1.00
6x6,60,100,100,100.00,0.00000500,0.00000261,1.00
6x6,65,100,100,100.00,0.00000452,0.00000185,1.00
6x6,70,100,100,100.00,0.00000444,0.00000121,1.00
6x6,75,100,100,100.00,0.00000421,0.00000094,1.00
6x6,80,100,100,100.00,0.00000521,0.00001014,1.00
6x6,85,100,100,100.00,0.00000410,0.00000056,1.00
6x6,90,100,100,100.00,0.00000414,0.00000130,1.00
6x6,95,100,100,100.00,0.00000402,0.00000059,1.00
9x9,0,100,100,100.00,0.00039725,0.00002718,1.00
9x9,5,100,100,100.00,0.00037211,0.00006171,1.00
9x9,10,100,100,100.00,0.00035907,0.00013436,1.00
9x9,15,100,100,100.00,0.00030910,0.00003644,1.01
9x9,20,100,100,100.00,0.00027381,0.00002842,1.01
9x9,25,100,100,100.00,0.00023357,0.00002288,1.00
9x9,30,100,100,100.00,0.00018223,0.00002614,1.00
9x9,35,100,100,100.00,0.00012014,0.00003739,1.00
9x9,40,100,100,100.00,0.00005658,0.00003377,1.00
9x9,45,100,100,100.00,0.00002968,0.00002489,1.00
9x9,50,100,100,100.00,0.00001691,0.00001040,1.00
9x9,55,100,100,100.00,0.00001177,0.00000621,1.00
9x9,60,100,100,100.00,0.00000943,0.00000408,1.00
9x9,65,100,100,100.00,0.00000876,0.00000315,1.00
9x9,70,100,100,100.00,0.00000868,0.00000348,1.00
9x9,75,100,100,100.00,0.00000834,0.00000149,1.00
9x9,80,100,100,100.00,0.00000803,0.00000114,1.00
9x9,85,100,100,100.00,0.00000890,0.00000528,1.00
9x9,90,100,100,100.00,0.00000809,0.00000088,1.00
9x9,95,100,100,100.00,0.00000818,0.00000103,1.00
12x12,0,100,100,100.00,0.00110949,0.00022067,1.05
12x12,5,100,100,100.00,0.00110575,0.00029874,1.12
12x12,10,100,100,100.00,0.00104446,0.00030924,1.14
12x12,15,100,100,100.00,0.00108791,0.00043659,1.22
12x12,20,100,100,100.00,0.00089936,0.00026597,1.18
