Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00015834,0.00003796,1.00
6x6,5,100,100,100.00,0.00014445,0.00001204,1.00
6x6,10,100,100,100.00,0.00013461,0.00001542,1.00
6x6,15,100,100,100.00,0.00011910,0.00000421,1.00
6x6,20,100,100,100.00,0.00010491,0.00001628,1.00
6x6,25,100,100,100.00,0.00008570,0.00002931,1.00
6x6,30,100,100,100.00,0.00006767,0.00001937,1.00
6x6,35,100,100,100.00,0.00003810,0.00002110,1.00
6x6,40,100,100,100.00,0.00002237,0.00001363,1.00
6x6,45,100,100,100.00,0.00001208,0.00000857,1.00
6x6,50,100,100,100.00,0.00000892,0.00000467,1.00
6x6,55,100,100,100.00,0.00000806,0.00000437,1.00
6x6,60,100,100,100.00,0.00000708,0.00000305,1.00
6x6,65,100,100,100.00,0.00000671,0.00000355,1.00
6x6,70,100,100,100.00,0.00000619,0.00000155,1.00
6x6,75,100,100,100.00,0.00000718,0.00000855,1.00
6x6,80,100,100,100.00,0.00000615,0.00000482,1.00
6x6,85,100,100,100.00,0.00000589,0.00000085,1.00
6x6,90,100,100,100.00,0.00000599,0.00000096,1.00
6x6,95,100,100,100.00,0.00000597,0.00000127,1.00
9x9,0,100,100,100.00,0.00056997,0.00002564,1.00
9x9,5,100,100,100.00,0.00057297,0.00018999,1.02
9x9,10,100,100,100.00,0.00048084,0.00003197,1.00
9x9,15,100,100,100.00,0.00043796,0.00002004,1.00
9x9,20,100,100,100.00,0.00038914,0.00002034,1.00
9x9,25,100,100,100.00,0.00033617,0.00004557,1.02
9x9,30,100,100,100.00,0.00027614,0.00007591,1.03
9x9,35,100,100,100.00,0.00017363,0.00005415,1.00
9x9,40,100,100,100.00,0.00007914,0.00004539,1.00
9x9,45,100,100,100.00,0.00003874,0.00002841,1.01
9x9,50,100,100,100.00,0.00002460,0.00001442,1.00
9x9,55,100,100,100.00,0.00001710,0.00000930,1.00
9x9,60,100,100,100.00,0.00001434,0.00000722,1.00
9x9,65,100,100,100.00,0.00001314,0.00000391,1.00
9x9,70,100,100,100.00,0.00001234,0.00000258,1.00
9x9,75,100,100,100.00,0.00001243,0.00000310,1.00
9x9,80,100,100,100.00,0.00001263,0.00000361,1.00
9x9,85,100,100,100.00,0.00001262,0.00000466,1.00
9x9,90,100,100,100.00,0.00001247,0.00000375,1.00
9x9,95,100,100,100.00,0.00001200,0.00000200,1.00
12x12,0,100,100,100.00,0.00163331,0.00036864,1.07
12x12,5,100,100,100.00,0.00156308,0.00039615,1.10
12x12,10,100,100,100.00,0.00149885,0.00046507,1.10
12x12,15,100,100,100.00,0.00146311,0.00045031,1.21
12x12,20,100,100,100.00,0.00136596,0.00044542,1.24
12x12,25,100,100,100.00,0.00119770,0.00036826,1.23
12x12,30,100,100,100.00,0.00110594,0.00057717,1.21
12x12,35,100,100,100.00,0.00087241,0.00028505,1.20
12x12,40,100,100,100.00,0.00065604,0.00022330,1.12
12x12,45,100,100,100.00,0.00041775,0.00017193,1.06
12x12,50,100,100,100.00,0.00020094,0.00011831,1.02
12x12,55,100,100,100.00,0.00007688,0.00005924,1.00
12x12,60,100,100,100.00,0.00004000,0.00002995,1.00
12x12,65,100,100,100.00,0.00002883,0.00001427,1.00
12x12,70,100,100,100.00,0.00002400,0.00001057,1.00
12x12,75,100,100,100.00,0.00002062,0.00000446,1.00
12x12,80,100,100,100.00,0.00002292,0.00001415,1.00
12x12,85,100,100,100.00,0.00001941,0.00000337,1.00
12x12,90,100,100,100.00,0.00001899,0.00000230,1.00
12x12,95,100,100,100.00,0.00001898,0.00000218,1.00
16x16,0,100,100,100.00,0.00737335,0.00271239,1.72
16x16,5,100,100,100.00,0.00645399,0.00210595,1.69
16x16,10,100,100,100.00,0.00666504,0.00233310,1.87
16x16,15,100,100,100.00,0.00609678,0.00180242,1.95
16x16,20,100,100,100.00,0.00641766,0.00255601,2.27
16x16,25,100,100,100.00,0.00563004,0.00383663,2.30
16x16,30,100,100,100.00,0.00497868,0.00215831,2.31
16x16,35,100,100,100.00,0.00457597,0.00250999,2.72
16x16,40,100,100,100.00,0.00379828,0.00322964,2.99
16x16,45,100,100,100.00,0.00110393,0.00132871,1.56
16x16,50,100,100,100.00,0.00015662,0.00013143,1.00
16x16,55,100,100,100.00,0.00005676,0.00004942,1.00
16x16,60,100,100,100.00,0.00004045,0.00001757,1.00
16x16,65,100,100,100.00,0.00003442,0.00000884,1.00
16x16,70,100,100,100.00,0.00003130,0.00000574,1.00
16x16,75,100,100,100.00,0.00003271,0.00001594,1.00
16x16,80,100,100,100.00,0.00003031,0.00000865,1.00
16x16,85,100,100,100.00,0.00002989,0.00000743,1.00
16x16,90,100,100,100.00,0.00002959,0.00000726,1.00
16x16,95,100,100,100.00,0.00002915,0.00000410,1.00
25x25,0,100,100,100.00,0.15901698,0.23539499,7.27
25x25,5,100,100,100.00,0.18436633,0.20686163,9.39
25x25,10,100,100,100.00,0.25944322,0.38022952,14.31
25x25,15,100,100,100.00,0.30728215,0.43435619,19.13
25x25,20,100,100,100.00,0.44763653,0.47926057,31.54
25x25,25,100,100,100.00,0.64351297,0.69337354,50.84
25x25,30,100,100,100.00,0.92719391,0.93138053,84.78
25x25,35,100,100,100.00,2.01553535,2.12800655,215.27
25x25,40,100,100,100.00,2.40855635,2.81669835,311.99
25x25,45,100,99,99.00,5.63918469,12.63191821,933.32
25x25,50,100,100,100.00,0.38933802,1.36202215,93.44
25x25,55,100,100,100.00,0.00024768,0.00055347,1.02
25x25,60,100,100,100.00,0.00011513,0.00005457,1.00
25x25,65,100,100,100.00,0.00009226,0.00002242,1.00
25x25,70,100,100,100.00,0.00008405,0.00001450,1.00
25x25,75,100,100,100.00,0.00007838,0.00000767,1.00
25x25,80,100,100,100.00,0.00007995,0.00001700,1.00
25x25,85,100,100,100.00,0.00007652,0.00000732,1.00
25x25,90,100,100,100.00,0.00007520,0.00000467,1.00
25x25,95,100,100,100.00,0.00007528,0.00000620,1.00
