Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00011974,0.00003424,1.00
6x6,5,100,100,100.00,0.00010313,0.00000891,1.00
6x6,10,100,100,100.00,0.00009657,0.00001608,1.00
6x6,15,100,100,100.00,0.00008546,0.00001208,1.00
6x6,20,100,100,100.00,0.00007196,0.00000732,1.00
6x6,25,100,100,100.00,0.00005777,0.00001137,1.00
6x6,30,100,100,100.00,0.00004682,0.00001220,1.00
6x6,35,100,100,100.00,0.00002744,0.00001618,1.00
6x6,40,100,100,100.00,0.00001535,0.00000924,1.00
6x6,45,100,100,100.00,0.00000851,0.00000615,1.00
6x6,50,100,100,100.00,0.00000593,0.00000298,1.00
6x6,55,100,100,100.00,0.00000544,0.00000306,1.00
6x6,60,100,100,100.00,0.00000486,0.00000231,1.00
6x6,65,100,100,100.00,0.00000424,0.00000114,1.00
6x6,70,100,100,100.00,0.00000429,0.00000118,1.00
6x6,75,100,100,100.00,0.00000418,0.00000194,1.00
6x6,80,100,100,100.00,0.00000444,0.00000225,1.00
6x6,85,100,100,100.00,0.00000415,0.00000089,1.00
6x6,90,100,100,100.00,0.00000414,0.00000107,1.00
6x6,95,100,100,100.00,0.00000421,0.00000110,1.00
9x9,0,100,100,100.00,0.00045721,0.00027666,1.00
9x9,5,100,100,100.00,0.00036863,0.00002459,1.00
9x9,10,100,100,100.00,0.00034223,0.00003455,1.01
9x9,15,100,100,100.00,0.00031630,0.00003994,1.02
9x9,20,100,100,100.00,0.00027893,0.00003020,1.01
9x9,25,100,100,100.00,0.00023748,0.00002464,1.01
9x9,30,100,100,100.00,0.00018282,0.00002598,1.00
9x9,35,100,100,100.00,0.00013710,0.00008329,1.02
9x9,40,100,100,100.00,0.00005639,0.00003417,1.00
9x9,45,100,100,100.00,0.00002680,0.00001994,1.00
9x9,50,100,100,100.00,0.00001692,0.00001037,1.00
9x9,55,100,100,100.00,0.00001152,0.00000631,1.00
9x9,60,100,100,100.00,0.00000954,0.00000360,1.00
9x9,65,100,100,100.00,0.00000886,0.00000222,1.00
