Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00015567,0.00002679,1.00
6x6,5,100,100,100.00,0.00014796,0.00001803,1.00
6x6,10,100,100,100.00,0.00013843,0.00002205,1.00
6x6,15,100,100,100.00,0.00013071,0.00003700,1.00
6x6,20,100,100,100.00,0.00010425,0.00001202,1.00
6x6,25,100,100,100.00,0.00009609,0.00006935,1.00
6x6,30,100,100,100.00,0.00008099,0.00005563,1.00
6x6,35,100,100,100.00,0.00005161,0.00009235,1.00
6x6,40,100,100,100.00,0.00002248,0.00001398,1.00
6x6,45,100,100,100.00,0.00001233,0.00000891,1.00
6x6,50,100,100,100.00,0.00000849,0.00000445,1.00
6x6,55,100,100,100.00,0.00000777,0.00000413,1.00
6x6,60,100,100,100.00,0.00000716,0.00000436,1.00
6x6,65,100,100,100.00,0.00000637,0.00000148,1.00
6x6,70,100,100,100.00,0.00000630,0.00000142,1.00
6x6,75,100,100,100.00,0.00000605,0.00000110,1.00
6x6,80,100,100,100.00,0.00000636,0.00000367,1.00
6x6,85,100,100,100.00,0.00000578,0.00000070,1.00
6x6,90,100,100,100.00,0.00000592,0.00000145,1.00
6x6,95,100,100,100.00,0.00000586,0.00000102,1.00
9x9,0,100,100,100.00,0.00058206,0.00006085,1.00
9x9,5,100,100,100.00,0.00057920,0.00016863,1.00
9x9,10,100,100,100.00,0.00051552,0.00011581,1.02
9x9,15,100,100,100.00,0.00044870,0.00005224,1.00
9x9,20,100,100,100.00,0.00039827,0.00004504,1.01
9x9,25,100,100,100.00,0.00034382,0.00004940,1.00
9x9,30,100,100,100.00,0.00028930,0.00014055,1.00
9x9,35,100,100,100.00,0.00017092,0.00005150,1.00
9x9,40,100,100,100.00,0.00007941,0.00004750,1.00
9x9,45,100,100,100.00,0.00003806,0.00002846,1.00
9x9,50,100,100,100.00,0.00002343,0.00001471,1.00
9x9,55,100,100,100.00,0.00001663,0.00001022,1.00
9x9,60,100,100,100.00,0.00001456,0.00000924,1.00
9x9,65,100,100,100.00,0.00001316,0.00000761,1.00
9x9,70,100,100,100.00,0.00001141,0.00000206,1.00
9x9,75,100,100,100.00,0.00001155,0.00000198,1.00
9x9,80,100,100,100.00,0.00001176,0.00000318,1.00
9x9,85,100,100,100.00,0.00001217,0.00000416,1.00
9x9,90,100,100,100.00,0.00001156,0.00000238,1.00
9x9,95,100,100,100.00,0.00001239,0.00000788,1.00
12x12,0,100,100,100.00,0.00170136,0.00038598,1.07
12x12,5,100,100,100.00,0.00164970,0.00054393,1.09
12x12,10,100,100,100.00,0.00155572,0.00045992,1.14
12x12,15,100,100,100.00,0.00136339,0.00036692,1.09
12x12,20,100,100,100.00,0.00129629,0.00037141,1.14
12x12,25,100,100,100.00,0.00121667,0.00045023,1.16
12x12,30,100,100,100.00,0.00101660,0.00031167,1.15
12x12,35,100,100,100.00,0.00089140,0.00028552,1.18
12x12,40,100,100,100.00,0.00069997,0.00033896,1.19
12x12,45,100,100,100.00,0.00046143,0.00028944,1.13
12x12,50,100,100,100.00,0.00019840,0.00013077,1.01
12x12,55,100,100,100.00,0.00008203,0.00007552,1.00
12x12,60,100,100,100.00,0.00003904,0.00002768,1.00
12x12,65,100,100,100.00,0.00002809,0.00001460,1.00
12x12,70,100,100,100.00,0.00002553,0.00001720,1.00
12x12,75,100,100,100.00,0.00001975,0.00000354,1.00
12x12,80,100,100,100.00,0.00001997,0.00000424,1.00
12x12,85,100,100,100.00,0.00001896,0.00000658,1.00
12x12,90,100,100,100.00,0.00001799,0.00000249,1.00
12x12,95,100,100,100.00,0.00001835,0.00000355,1.00
16x16,0,100,100,100.00,0.00747131,0.00237436,1.72
16x16,5,100,100,100.00,0.00711859,0.00234017,1.77
16x16,10,100,100,100.00,0.00619102,0.00175701,1.73
16x16,15,100,100,100.00,0.00620725,0.00224559,1.90
16x16,20,100,100,100.00,0.00563724,0.00167921,2.00
16x16,25,100,100,100.00,0.00576695,0.00238229,2.25
16x16,30,100,100,100.00,0.00521683,0.00312096,2.45
16x16,35,100,100,100.00,0.00509230,0.00337991,2.94
16x16,40,100,100,100.00,0.00384544,0.00322903,3.09
16x16,45,100,100,100.00,0.00358393,0.02433983,4.00
16x16,50,100,100,100.00,0.00016863,0.00016887,1.00
16x16,55,100,100,100.00,0.00005349,0.00004547,1.00
16x16,60,100,100,100.00,0.00003867,0.00001623,1.00
16x16,65,100,100,100.00,0.00003214,0.00000790,1.00
16x16,70,100,100,100.00,0.00003064,0.00000710,1.00
16x16,75,100,100,100.00,0.00003009,0.00001212,1.00
16x16,80,100,100,100.00,0.00003058,0.00001455,1.00
16x16,85,100,100,100.00,0.00002842,0.00000702,1.00
16x16,90,100,100,100.00,0.00002757,0.00000344,1.00
16x16,95,100,100,100.00,0.00002879,0.00001074,1.00
25x25,0,100,100,100.00,0.18102350,0.21726448,8.34
25x25,5,100,100,100.00,0.13555463,0.19198790,6.85
25x25,10,100,100,100.00,0.21769805,0.23458693,12.24
25x25,15,100,100,100.00,0.32760285,0.36384461,20.47
25x25,20,100,100,100.00,0.44801126,0.47439533,31.34
25x25,25,100,100,100.00,0.85008533,1.44758460,67.28
25x25,30,100,99,99.00,0.99689632,1.02203652,91.07
25x25,35,100,100,100.00,2.35656058,7.83991657,173.59
25x25,40,100,100,100.00,3.52041552,6.73692962,396.31
25x25,45,100,97,97.00,4.99604172,8.91038627,826.51
25x25,50,100,100,100.00,1.05703470,3.40621558,239.02
25x25,55,100,100,100.00,0.00023998,0.00051786,1.02
25x25,60,100,100,100.00,0.00010469,0.00003979,1.00
25x25,65,100,100,100.00,0.00008612,0.00002086,1.00
25x25,70,100,100,100.00,0.00007686,0.00001083,1.00
25x25,75,100,100,100.00,0.00007248,0.00000802,1.00
25x25,80,100,100,100.00,0.00007160,0.00000502,1.00
25x25,85,100,100,100.00,0.00007034,0.00000338,1.00
25x25,90,100,100,100.00,0.00006937,0.00000181,1.00
25x25,95,100,100,100.00,0.00007068,0.00000391,1.00
